Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Richard Lovelady","WSN",1.34326,1.12218,0,4.09938,37.553,0,0,6.7708,,39.6499,168.886,36.605,19.39,18.06,4.45634,12.795,0.916801,3.53773,35.6337,8.08837,2.90429,2.78497,1.01153,0.210993,0.0757612,0.13523156940937042,0.239949,1.2459,0.28586,0.695301,,,4.03459,0.241717,0.194681,999,,,,,,,199.60000000000002,4.99,197,4.925,,,,,,,,,,,,,,,,,,,"Richard Lovelady","19337",663992
"Carlos Vargas","SEA",2.03275,1.75432,0,4.03009,51.837,0,0,10.0047,,54.4231,233.473,53.1877,26.17,24.37,4.76688,18.8444,1.6548,3.86561,39.1376,6.47222,3.11631,2.07688,0.788304,0.167632,0.0807133,0.08691897243261337,0.252358,1.32356,0.290191,0.701701,,,4.08738,0.240859,0.226871,999,,,,,,,249.3,4.616666666666667,254,4.703703703703703,,,,,,,,,,,,,,,,,,,"Carlos Vargas","22915",672841
"Will Klein","LAD",2.23378,1.01438,0,4.23998,41.438,0,0,8.0781,,43.854,191.75,37.1414,22.07,20.66,4.99931,24.5716,1.00256,1.84162,51.1322,10.4937,5.04275,2.08094,1.02599,0.266661,0.128144,0.1385166347026825,0.224641,1.40724,0.294327,0.72455,,,4.09209,0.240546,0.101346,999,,,,,,,220.90000000000003,5.020454545454546,208,4.7272727272727275,,,,,,,,,,,,,,,,,,,"Will Klein","27787",694361
"Jacob Webb","CHC",2.28185,1.5372,0,3.99977,48.922,0,0,10.6984,,51.5505,216.275,42.4684,24.5,22.91,6.83722,20.3462,1.20575,1.87393,47.4681,8.28727,3.55216,2.33303,1.19368,0.219481,0.0940755,0.12540507316589355,0.218848,1.21851,0.254965,0.719624,,,4.31084,0.240164,0.325098,999,,,,,,,261.50000000000006,5.028846153846155,241,4.634615384615385,,,,,,,,,,,,,,,,,,,"Jacob Webb","19274",657097
"Nick Mears","KCR",2.38717,1.85396,0,4.26013,58.352,0,0,12.3966,,59.7869,255.752,53.7412,30.35,28.3,7.77679,24.4399,1.49468,1.22562,56.075,8.44123,3.67905,2.29441,1.17068,0.219255,0.0955608,0.12369450181722641,0.233569,1.30766,0.276503,0.710782,,,4.23813,0.238899,0.138199,999,,,,,,,290.20000000000005,4.836666666666668,281,4.683333333333334,,,,,,,,,,,,,,,,,,,"Nick Mears","25376",683232
"Josh Simpson","SEA",1.36613,1.04512,0,3.68888,33.74,0,0,0.6497,,34.8886,148.465,28.5821,15.33,14.3,3.45391,15.2432,1.38183,2.7629,36.4329,9.39837,3.9322,2.39011,0.890985,0.245398,0.102672,0.14272531121969223,0.219089,1.25615,0.277439,0.73084,,,3.8819,0.237962,0.337918,999,,,,,,,168.7,4.819999999999999,158,4.514285714285714,,,,,,,,,,,,,,,,,,,"Josh Simpson","25957",681006
"Joel Peguero","SFG",2.53016,2.01288,0,4.44054,60.276,0,3,12.0725,,64.3503,282.455,64.1025,34.1,31.75,6.58964,28.9066,2.06776,2.42857,56.8286,7.94801,4.04287,1.96594,0.921624,0.201195,0.102341,0.09885435551404953,0.255266,1.44536,0.306405,0.70311,,,4.16099,0.23374,-0.0567473,999,,,,,,,305.1,4.7671875,313,4.890625,,,,,,,,,,,,,,,,,,,"Joel Peguero","21951",666711
"Wade Miley",,2.52431,3.56139,2.69202,5.14128,8.048,7.81,0,0,,40.735,178.914,43.3114,24.98,23.27,6.70266,15.2876,0.150055,1.63958,29.1159,6.43286,3.37766,1.90454,1.48089,0.162737,0.085447,0.07728986442089081,0.267377,1.43854,0.290159,0.683101,,,5.09131,0.232755,0.0624823,999,,,,,,,112.50000000000004,2.7439024390243913,121,2.951219512195122,,,,,,,,,,,,,,,,,,,"Wade Miley","8779",489119
"Paul Sewald","ARI",2.51587,2.76238,0,4.31064,44.508,0,2,9.9785,,45.2439,190.172,39.2174,23.21,21.67,7.63129,14.8202,1.05006,2.03889,47.6887,9.48632,2.94807,3.21781,1.51803,0.250766,0.0779306,0.17283492535352707,0.22628,1.19436,0.267694,0.71107,,,4.33766,0.230261,0.0525234,707.8300170898438,,,,,,,228.20000000000002,5.071111111111112,216,4.8,,,,,,,,,,,,,,,,,,,"Paul Sewald","13892",623149
"Jaden Hill","COL",2.28082,2.17744,0,4.55077,50.193,0,0,6.3199,,52.3098,229.016,50.4432,28.33,26.45,5.82988,22.2579,1.34066,3.53503,51.1436,8.79936,3.82952,2.29777,1.00304,0.223319,0.0971896,0.12612984329462051,0.248216,1.38982,0.30505,0.687505,,,4.1078,0.229345,-0.0842816,999,,,,,,,229,4.403846153846154,230,4.423076923076923,,,,,,,,,,,,,,,,,,,"Jaden Hill","30250",677955
"Jimmy Herget","COL",2.78937,3.33743,0,5.27903,64.085,0.62,2,14.5486,,72.968,322.628,78.9311,45.83,42.8,10.8153,23.8443,2.37105,5.25932,65.7211,8.10615,2.941,2.75626,1.33398,0.203706,0.0739066,0.1297989785671234,0.268908,1.4085,0.313915,0.64981,,,4.45719,0.228808,-0.73949,999,,,,,,,314.5000000000001,4.308219178082194,337,4.616438356164384,,,,,,,,,,,,,,,,,,,"Jimmy Herget","17556",623474
"Tristan Beck","SFG",1.2317,0.984268,0,4.38331,28.868,0.064,0,0.6709,,35.5416,152.968,35.4093,18.59,17.31,4.34702,11.7997,1.05852,1.31156,31.1732,7.89381,2.98798,2.64185,1.10077,0.203789,0.0771385,0.12665007263422012,0.253183,1.32828,0.297712,0.695934,,,4.07766,0.224367,-0.0191561,999,,,,,,,153.20000000000005,4.255555555555556,155,4.305555555555555,,,,,,,,,,,,,,,,,,,"Tristan Beck","21584",663941
"Henry Baez","ATH",0.855173,1.29002,0.177298,4.34074,6.783,2.827,0,0,,19.7593,84.8442,19.1055,10.22,9.53,2.34997,7.01692,0.347716,1.1356,16.4979,7.5145,3.19608,2.35116,1.07037,0.19445,0.0827036,0.11174604296684265,0.249121,1.32203,0.289668,0.696482,,,4.24911,0.223405,0.203962,999,,,,,,,82,4.1,82,4.1,,,,,,,,,,,,,,,,,,,"Henry Baez","sa3016584",692013
"Evan Phillips","LAD",1.19485,0.466641,0,3.65013,20.895,0,1,0.7767,,21.4513,88.7173,17.8092,9.32,8.7,2.49359,6.78951,0.437105,0.917013,21.7546,9.12726,2.84857,3.20415,1.0462,0.245213,0.0765297,0.16868308186531067,0.219837,1.14672,0.269818,0.723845,,,3.6958,0.222334,0.202725,999,,,,,,,113.00000000000001,5.380952380952381,108,5.142857142857143,,,,,,,,,,,,,,,,,,,"Evan Phillips","17734",623465
"Chase Lee","TOR",0.995049,0.593732,0,3.85827,21.925,0,0,0.6494,,24.1196,101.421,21.5873,11.09,10.34,2.81859,7.55618,0.877501,1.34187,23.9164,8.92418,2.81952,3.16514,1.05173,0.235813,0.0745031,0.16130993515253067,0.233319,1.20829,0.285291,0.716481,,,3.77789,0.22034,0.15798,999,,,,,,,108.50000000000001,4.520833333333334,106,4.416666666666667,,,,,,,,,,,,,,,,,,,"Chase Lee","29574",695445
"Dylan Dodd","ATL",1.39632,1.01533,0,4.56142,34.403,0.104,0,3.9951,,38.9089,166.191,39.4485,21.11,19.72,5.54528,10.6364,1.04104,1.60529,36.7433,8.49907,2.46029,3.4545,1.28268,0.221091,0.0640009,0.15708989650011063,0.256244,1.28724,0.303627,0.684638,,,4.04308,0.218981,-0.0631674,999,,,,,,,164.4,4.2153846153846155,168,4.3076923076923075,,,,,,,,,,,,,,,,,,,"Dylan Dodd","29928",689266
"Danny Young","ATL",0.791156,0.476087,0,3.76815,19.022,0,0,0.6514,,19.2986,83.1571,16.9938,8.68,8.08,1.43332,7.97981,0.479966,2.16588,22.1562,10.3326,3.72143,2.77653,0.668438,0.266437,0.0959606,0.17047662287950516,0.232755,1.29406,0.314848,0.709437,,,3.38168,0.217441,0.0950363,999,,,,,,,102.09999999999998,5.3736842105263145,100,5.2631578947368425,,,,,,,,,,,,,,,,,,,"Danny Young","18439",664849
"Zach McCambley","PHI",1.36862,1.05006,0,4.21074,36.971,0,0,0,,38.1952,164.036,34.1047,19.2,17.87,5.03849,15.4623,1.36891,2.12387,40.073,9.44247,3.6434,2.59166,1.18723,0.244294,0.0942616,0.150032676756382,0.232876,1.29773,0.286823,0.714297,,,4.13298,0.215071,0.0875262,999,,,,,,,160.29999999999998,4.218421052631578,154,4.052631578947368,,,,,,,,,,,,,,,,,,,"Zach McCambley","sa3014478",685112
