Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Blayne Enlow","ATL",0.0559,0.0653,0.0708,4.7592,0.1754,0.1754,0,0,,1,4.354,1.0718,0.567,0.5288,0.151667,0.317,0.004,0.0565,0.7675,6.9075,2.853,2.42114,1.365,0.176275,0.0728066,0.10346807539463043,0.269263,1.3888,0.300566,0.698532,0.423519,,4.6923,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Blayne Enlow","sa3005117",669416
"Tsuyoshi Wada",,0.0524,0.0665,0.0631,4.7016,0.2637,0.1567,0,0,,1,4.35,1.0907,0.56,0.5224,0.152556,0.3065,0.0064,0.0387,0.73,6.57,2.7585,2.38173,1.373,0.167816,0.0704598,0.09735633432865143,0.272348,1.3972,0.300471,0.70732,0.408011,,4.69396,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Tsuyoshi Wada","13046",493159
"Riley Frey","ATL",0.0542,0.0612,0.053,4.62924,0.3808,0.1318,0,0,,1,4.367,1.0723,0.5537,0.51436,0.142667,0.3562,0.0095,0.037,0.735,6.615,3.2058,2.06345,1.284,0.168308,0.0815663,0.08674146980047226,0.269842,1.4285,0.300256,0.711933,0.431061,,4.6994,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Riley Frey","sa3022909",811319
"Ross Stripling",,0.0517,0.0661,0.0593,4.71366,0.3008,0.1488,0,0,,1,4.317,1.1095,0.5616,0.52374,0.161,0.2505,0.0076,0.0314,0.6854,6.1686,2.2545,2.73613,1.449,0.158768,0.0580264,0.10074126347899437,0.274962,1.36,0.297457,0.703684,0.410979,,4.70304,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Ross Stripling","13273",548389
"Chih-Jung Liu","BOS",0.0504,0.0658,0.052,4.84065,0.3552,0.1372,0,0,,1,4.402,1.0364,0.5759,0.53785,0.143444,0.4174,0.0089,0.046,0.8422,7.5798,3.7566,2.01773,1.291,0.191322,0.0948205,0.09650158137083054,0.263139,1.4538,0.302394,0.700651,0.419476,,4.70571,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Chih-Jung Liu","sa3014675",692617
"Lael Lockhart","DET",0.0534,0.0669,0.0726,4.47696,0.2092,0.1682,0,0,,1,4.412,1.0176,0.538,0.49744,0.127556,0.4377,0.005,0.0473,0.7712,6.9408,3.9393,1.76194,1.148,0.174796,0.0992067,0.07558929175138474,0.259129,1.4553,0.293914,0.718481,0.44135,,4.70596,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Lael Lockhart","sa3017502",679712
"Tyler Stuart","WSN",0.0506,0.0703,0.0716,4.59387,0.1977,0.1707,0,0,,1,4.349,1.0507,0.5507,0.51043,0.139778,0.3589,0.0046,0.0415,0.7216,6.4944,3.2301,2.01059,1.258,0.165923,0.0825247,0.0833984836935997,0.266094,1.4096,0.295062,0.707548,0.448947,,4.71025,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Tyler Stuart","sa3020264",701603
"Richard Gallardo","TOR",0.0546,0.0652,0.0672,4.70241,0.2233,0.1653,0,0,,1,4.355,1.0732,0.5617,0.52249,0.150556,0.3173,0.0053,0.0454,0.7337,6.6033,2.8557,2.31232,1.355,0.168473,0.0728588,0.0956142395734787,0.268817,1.3905,0.296857,0.702538,0.430761,,4.71306,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Richard Gallardo","sa3009990",682620
"Bryce Mayer","HOU",0.0545,0.0651,0.0665,4.66596,0.2348,0.1628,0,0,,1,4.323,1.0081,0.5545,0.51844,0.159667,0.3533,0.0056,0.0478,0.8495,7.6455,3.1797,2.40447,1.437,0.196507,0.0817257,0.11478139460086823,0.257044,1.3614,0.291284,0.709134,0.395546,,4.7151,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Bryce Mayer","sa3025558",809343
"Ty Blach",,0.0518,0.0645,0.0562,4.626,0.3486,0.1386,0,0,,1,4.341,1.1241,0.5544,0.514,0.144111,0.2707,0.0077,0.0468,0.6228,5.6052,2.4363,2.3007,1.297,0.143469,0.0623589,0.08111033961176872,0.279384,1.3948,0.300925,0.704416,0.447998,,4.71548,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Ty Blach","14361",621389
"Jurrangelo Cijntje","STL",0.0527,0.0679,0.0731,4.5279,0.1961,0.1711,0,0,,1,4.399,1.0117,0.5428,0.5031,0.130444,0.423,0.0046,0.0575,0.7777,6.9993,3.807,1.83853,1.174,0.17679,0.0961582,0.08063196390867233,0.258186,1.4347,0.292741,0.712336,0.431664,,4.71701,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jurrangelo Cijntje","sa3028930",701388
"Logan Evans","SEA",0.0546,0.0657,0.0721,4.52061,0.2059,0.1689,0,0,,1,4.359,1.0388,0.542,0.50229,0.144556,0.3512,0.0059,0.0477,0.7459,6.7131,3.1608,2.12386,1.301,0.171117,0.0805689,0.09054827690124512,0.262317,1.39,0.291319,0.714032,0.436974,,4.71926,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Logan Evans","33699",688138
"Bowden Francis","TOR",0.0562,0.0649,0.0726,4.66191,0.1754,0.1754,0,0,,1,4.323,1.0127,0.5515,0.51799,0.174444,0.3096,0.0031,0.0508,0.8812,7.9308,2.7864,2.84625,1.57,0.20384,0.0716169,0.1322229951620102,0.255565,1.3223,0.288362,0.714976,0.353135,,4.72171,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Bowden Francis","20548",670102
"Yu-Min Lin","ARI",0.0547,0.0665,0.0715,4.71933,0.1754,0.1754,0,0,,1,4.454,1.0867,0.5679,0.52437,0.117222,0.4318,0.0041,0.0557,0.6996,6.2964,3.8862,1.62019,1.055,0.157072,0.0969466,0.060125723481178284,0.273969,1.5185,0.307802,0.701866,0.484814,,4.72233,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Yu-Min Lin","sa3019278",801179
"Landon Harper","ATL",0.0541,0.0638,0.0587,4.77369,0.2958,0.1498,0,0,,1,4.326,1.1018,0.5686,0.53041,0.158444,0.2785,0.0072,0.0344,0.7038,6.3342,2.5065,2.52711,1.426,0.162691,0.0643782,0.09831252694129944,0.274551,1.3803,0.299397,0.700661,0.419518,,4.72601,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Landon Harper","sa3020404",804542
"Leandro Lopez","TEX",0.054,0.0669,0.0723,4.63689,0.1829,0.1739,0,0,,1,4.399,1.0107,0.5553,0.51521,0.136889,0.455,0.0042,0.0358,0.8296,7.4664,4.095,1.8233,1.232,0.188588,0.103433,0.08515571057796478,0.25861,1.4657,0.297042,0.714569,0.44539,,4.72789,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Leandro Lopez","sa3016748",699214
"Nolan Kingham",,0.053,0.0641,0.0562,4.81482,0.3189,0.1449,0,0,,1,4.402,1.1156,0.5774,0.53498,0.135778,0.3565,0.0079,0.042,0.6829,6.1461,3.2085,1.91557,1.222,0.155134,0.0809859,0.07414811849594116,0.278656,1.4721,0.307654,0.697888,0.477363,,4.72995,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Nolan Kingham","sa3008224",663884
"Brian Gonzalez","SDP",0.0537,0.0636,0.0618,4.50702,0.3131,0.1461,0,0,,1,4.348,1.0016,0.5367,0.50078,0.153,0.3892,0.0077,0.0395,0.8375,7.5375,3.5028,2.15185,1.377,0.192617,0.0895124,0.10310486704111099,0.255556,1.3908,0.289743,0.725905,0.387077,,4.73524,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Brian Gonzalez","sa828794",656473
"Jackson Kent","WSN",0.0518,0.0695,0.0754,4.51836,0.1754,0.1754,0,0,,1,4.344,1.026,0.5398,0.50204,0.146222,0.367,0.004,0.0408,0.7615,6.8535,3.303,2.07493,1.316,0.175299,0.0844844,0.09081491827964783,0.260657,1.393,0.290502,0.718007,0.408852,,4.73643,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Jackson Kent","sa3035282",800600
"Matt Osterberg",,0.054,0.0672,0.0736,4.61151,0.1754,0.1754,0,0,,1,4.357,1.1114,0.5541,0.51239,0.139,0.3084,0.004,0.0386,0.6218,5.5962,2.7756,2.01621,1.251,0.142713,0.0707827,0.07193022221326828,0.277157,1.4198,0.299274,0.706579,0.458998,,4.73954,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Matt Osterberg","sa3017462",684296
"Aaron Brooks",,0.0506,0.0663,0.0563,4.74381,0.3296,0.1426,0,0,,1,4.382,1.1431,0.5711,0.52709,0.134,0.3047,0.0077,0.0401,0.5836,5.2524,2.7423,1.91533,1.206,0.133181,0.0695345,0.06364674121141434,0.283142,1.4478,0.303982,0.695683,0.495017,,4.74434,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Aaron Brooks","12272",605156
"Marco Raya","MIN",0.0509,0.0683,0.0631,4.76379,0.2505,0.1595,0,0,,1,4.442,1.0436,0.5705,0.52931,0.128111,0.4571,0.0061,0.0485,0.7858,7.0722,4.1139,1.7191,1.153,0.176902,0.102904,0.07399819046258926,0.265115,1.5007,0.302892,0.70398,0.457591,,4.74578,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Marco Raya","sa3014550",694397
"Connor Wietgrefe","PIT",0.0524,0.0689,0.0724,4.67424,0.1754,0.1754,0,0,,1,4.359,1.0946,0.5582,0.51936,0.144333,0.318,0.004,0.0372,0.6626,5.9634,2.862,2.08365,1.299,0.152007,0.0729525,0.0790548175573349,0.27339,1.4126,0.297249,0.705805,0.414254,,4.75187,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Connor Wietgrefe","sa3025401",809733
"C.J. Culpepper","MIN",0.0515,0.0698,0.0703,4.78035,0.1754,0.1754,0,0,,1,4.439,1.0772,0.5741,0.53115,0.125111,0.4291,0.0041,0.0461,0.717,6.453,3.8619,1.67094,1.126,0.161523,0.0966659,0.06485695391893387,0.271759,1.5063,0.304992,0.7003,0.480758,,4.75318,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"C.J. Culpepper","sa3020563",690217
"Connor Noland","CHC",0.0535,0.0668,0.0687,4.67766,0.2109,0.1679,0,0,,1,4.355,1.0976,0.5625,0.51974,0.137444,0.3384,0.0049,0.0324,0.6384,5.7456,3.0456,1.88652,1.237,0.14659,0.0777038,0.06888633966445923,0.275488,1.436,0.299267,0.702409,0.478628,,4.75751,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Connor Noland","sa3020834",690939
"Kenny Hernandez",,0.0523,0.0687,0.0732,4.57119,0.187,0.173,0,0,,1,4.391,1.0791,0.5492,0.50791,0.132556,0.3694,0.0044,0.0394,0.6633,5.9697,3.3246,1.79561,1.193,0.151059,0.0841266,0.06693235784769058,0.270981,1.4485,0.297063,0.712079,0.44764,,4.75816,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Kenny Hernandez","sa943755",665789
"Walker Powell","CHC",0.0542,0.0671,0.0722,4.68513,0.1754,0.1754,0,0,,1,4.318,1.088,0.5606,0.52057,0.151556,0.2896,0.004,0.0389,0.6642,5.9778,2.6064,2.29351,1.364,0.153821,0.0670681,0.08675312250852585,0.272716,1.3776,0.29506,0.701034,0.442011,,4.76246,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Walker Powell","sa3017815",689608
