Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Kyler Fedko","MIN",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.219194,0.103362,0.25221,0.409827,0.304443,0.358758,0.294254,0.663201,0.139564,4.47423,0.272862,,0.000684821,0.102893,-0.0152643,86.4868,0.000684821,0.00213886,-0.015242104884237051,0.002138857962563634,0.0021808,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Kyler Fedko","sa3017561",693459
"José Mejía","ARI",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.233882,0.0864022,0.218434,0.395552,0.310792,0.364641,0.298828,0.675433,0.130759,4.28734,0.284252,,-0.00146273,0.106606,-0.0115513,89.3075,-0.00146273,0.00213886,-0.014135527424514294,0.002138857962563634,0.00217655,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jose Mejia","sa3021169",808090
"Ben Hartl","TEX",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.212004,0.0660038,0.281717,0.234291,0.299866,0.317078,0.279329,0.616944,0.105075,2.7712,0.288166,,-0.00194163,0.0907751,-0.0273826,78.3683,-0.00194163,0.014259,-0.027437103912234306,0.01425904966890812,0.00217315,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Ben Hartl","sa3025364",803015
"Rudy Martin","KCR",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.2318,0.085168,0.2406,0.353982,0.301075,0.357034,0.290672,0.658109,0.125234,6.88292,0.291327,,0.00614707,0.0999845,-0.0181732,81.7599,0.00614707,0.00213886,-0.015350979287177324,0.002138857962563634,0.00216967,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Rudy Martin","sa829374",657675
"Ryan Noda","BAL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.194927,0.146555,0.33637,0.435697,0.327962,0.352378,0.307242,0.68034,0.157451,3.47221,0.277089,,-0.000674561,0.113438,-0.00471954,97.6358,-0.000674561,-0.00975319,-0.0034610236762091517,-0.009753189980983734,0.00216945,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Ryan Noda","23312",676116
"Luis Lara","MIL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.226212,0.088611,0.215208,0.411746,0.304837,0.319608,0.280745,0.624446,0.0933968,5.66509,0.283919,,0.00270438,0.0919251,-0.0262326,78.6592,0.00270438,0.0104961,-0.022588882595300674,0.010496087372303009,0.00216672,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Luis Lara","sa3018514",800325
"Connor Charping","SEA",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.208052,0.0912717,0.242149,0.376924,0.300205,0.286894,0.269078,0.587099,0.0788424,4.58917,0.272745,,0.000260772,0.0824521,-0.0357056,76.4327,0.000260772,0.014259,-0.027516031404957175,0.01425904966890812,0.00216508,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Connor Charping","sa3020014",806464
"Juan Ortega","BAL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.210595,0.0815383,0.294183,0.277168,0.283032,0.340276,0.276331,0.623308,0.129682,5.28073,0.28119,,0.000266121,0.0883409,-0.0298168,76.342,0.000266121,0.014259,-0.02761760470457375,0.01425904966890812,0.00215468,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Juan Ortega","sa3021239",808302
"J.D. Davis",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.226289,0.0809781,0.311797,0.259714,0.297088,0.382964,0.297963,0.680052,0.156675,3.62187,0.303814,,-0.000960501,0.105904,-0.0122537,88.6209,-0.000960501,0.000918283,-0.014372060599271208,0.0009182830108329654,0.00214494,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"J.D. Davis","16219",605204
"Emmanuel Rivera",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.241402,0.0687428,0.219869,0.312654,0.29991,0.362957,0.291695,0.662867,0.121555,3.63964,0.293874,,-0.000916645,0.100816,-0.017342,86.9263,-0.000916645,0.00285181,-0.016325562202837318,0.00285181007348001,0.0021429,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Emmanuel Rivera","19890",656896
"Andrew Pinckney","WSN",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.238601,0.0603614,0.2925,0.206363,0.297398,0.369211,0.292823,0.666609,0.13061,5.97348,0.32099,,0.00177439,0.101731,-0.0164264,86.1985,0.00177439,0.00213886,-0.014583245501853526,0.002138857962563634,0.00213075,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Andrew Pinckney","sa3022670",687605
