Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Matt Fraizer","BOS",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.23405,0.0658595,0.247068,0.266564,0.287979,0.345754,0.278921,0.633732,0.111704,6.00932,0.301804,,0.00189012,0.0904441,-0.0277136,74.7715,0.00189012,-0.0106943,-0.028010822948999703,-0.010694287717342377,-0.000556055,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Matt Fraizer","sa918983",670208
"Damian Bravo","SFG",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.228382,0.0623841,0.23923,0.260771,0.287129,0.337782,0.276615,0.624911,0.1094,3.89268,0.288241,,-0.00131335,0.0885716,-0.0295861,77.4685,-0.00131335,-0.0106943,-0.028017874690704048,-0.010694287717342377,-0.000556776,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Damian Bravo","sa3027616",809720
"Nick Cimillo","PIT",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.218401,0.0849422,0.25549,0.332468,0.291049,0.374609,0.292012,0.665658,0.156208,2.59972,0.267199,,-0.00165645,0.101073,-0.0170852,83.7391,-0.00165645,-0.0178238,-0.02092900942079723,-0.01782381348311901,-0.000560936,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Nick Cimillo","sa3020129",701177
"Jose Tovar","TBR",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.191253,0.0845044,0.310356,0.272282,0.26183,0.292248,0.248499,0.554078,0.100995,3.82601,0.269697,,-0.00094001,0.0657443,-0.0524134,54.8433,-0.00094001,0.014259,-0.054162505839485675,0.01425904966890812,-0.000561193,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jose Tovar","sa3021223",808270
"Andrew Salas","MIA",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.196681,0.0933839,0.296781,0.314656,0.272976,0.295126,0.255792,0.568102,0.0984454,5.38442,0.27138,,0.0020559,0.0716652,-0.0464926,59.4696,0.0020559,0.0072165,-0.045981066999956965,0.007216504774987698,-0.000562138,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Andrew Salas","sa3067045",829035
"Yoeilin Cespedes","BOS",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.22133,0.0496879,0.271627,0.182927,0.259467,0.367614,0.271239,0.627081,0.146283,3.50448,0.279954,,-0.00190671,0.0842073,-0.0339504,67.1943,-0.00190671,0.000657342,-0.04057202022522688,0.0006573420250788331,-0.000562341,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Yoeilin Cespedes","sa3021085",806985
"Josh Caron","SEA",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.188896,0.0536899,0.335084,0.160228,0.238859,0.292776,0.235495,0.531635,0.10388,4.95969,0.269001,,0.000861491,0.0551864,-0.0629713,53.299,0.000861491,0.014259,-0.054181048239115626,0.01425904966890812,-0.00056309,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Josh Caron","sa3025435",701805
"Luis Rodriguez","LAA",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.202346,0.0723978,0.28247,0.256303,0.269463,0.304481,0.25679,0.573945,0.102135,3.43829,0.27049,,-0.000955061,0.0724754,-0.0456823,60.2583,-0.000955061,0.00784248,-0.047795255552046,0.007842478342354298,-0.000566238,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Luis Rodriguez","sa3021055",800170
"Colby Shelton","CHW",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.201177,0.0712116,0.273141,0.260714,0.266963,0.303132,0.254958,0.570096,0.101956,3.73632,0.263814,,-0.000566703,0.0709885,-0.0471692,59.9177,-0.000566703,0.00784248,-0.047808334755245596,0.007842478342354298,-0.000567577,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Colby Shelton","sa3042129",701333
"Sammy Siani","SEA",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.212272,0.0869915,0.25507,0.34105,0.283114,0.315106,0.267262,0.59822,0.102833,5.13295,0.275743,,-0.000110808,0.0809783,-0.0371794,66.7849,-0.000110808,0.000657342,-0.039477582307881676,0.0006573420250788331,-0.000567834,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Sammy Siani","sa3010704",686445
"Grant Richardson",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.213669,0.0658888,0.348268,0.18919,0.272567,0.366334,0.279145,0.638901,0.152665,5.28433,0.303635,,0.000903847,0.0906261,-0.0275316,75.4675,0.000903847,-0.0106943,-0.028172190533950925,-0.010694287717342377,-0.000572565,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Grant Richardson","sa3016964",685300
"Bryce Madron",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.193099,0.11605,0.277824,0.417712,0.292937,0.28166,0.263874,0.574597,0.0885606,2.75097,0.26352,,-0.00368026,0.0782271,-0.0399306,68.4951,-0.00368026,0.00213886,-0.04102011118084192,0.002138857962563634,-0.000574077,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Bryce Madron","sa3025156",809244
"Capri Ortiz","LAA",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.209027,0.0572495,0.296726,0.192938,0.260488,0.304109,0.250352,0.564597,0.0950817,6.19571,0.289084,,0.00153639,0.0672486,-0.0509091,55.8237,0.00153639,0.0104961,-0.05053056473843753,0.010496087372303009,-0.000574598,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Capri Ortiz","sa3018473",800194
"Ethan Hearn",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.187787,0.0565897,0.346581,0.16328,0.243802,0.312164,0.245448,0.555966,0.124376,4.28882,0.267348,,-0.000524665,0.0632675,-0.0548902,55.5174,-0.000524665,0.014259,-0.05324572615791112,0.01425904966890812,-0.000584863,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Ethan Hearn","sa3011502",683001
"Luis Lameda","MIL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.193604,0.121131,0.268679,0.450841,0.293347,0.282656,0.264236,0.576002,0.089052,1.92917,0.259967,,-0.00242922,0.078521,-0.0396368,67.3497,-0.00242922,0.00213886,-0.04112662002444267,0.002138857962563634,-0.000584974,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Luis Lameda","sa3021233",808288
"Heribert Silva","CLE",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.205143,0.0627097,0.285102,0.219955,0.264682,0.312038,0.256238,0.57672,0.106894,5.21289,0.275661,,0.0021472,0.0720278,-0.0461299,62.2413,0.0021472,0.00213886,-0.04235586430877447,0.002138857962563634,-0.000593273,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Heribert Silva","sa3021189",808137
"Tommy Hopfe","COL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.229032,0.0587649,0.222191,0.26448,0.293151,0.343682,0.282537,0.636832,0.11465,4.23628,0.280172,,-0.000348658,0.0933799,-0.0247778,65.4792,-0.000348658,0.00213886,-0.041262985148932785,0.002138857962563634,-0.000598926,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Tommy Hopfe","sa3025593",809101
"Yonatan Henriquez","NYM",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.206766,0.0828403,0.265159,0.312418,0.272467,0.305072,0.257942,0.577539,0.0983061,4.71193,0.271867,,-0.000531329,0.0734114,-0.0447463,65.585,-0.000531329,0.00213886,-0.04132021055556834,0.002138857962563634,-0.00060478,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Yonatan Henriquez","sa3018487",800257
"Kade Snell","CHC",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.214043,0.0825523,0.246505,0.334891,0.28354,0.326794,0.271534,0.610334,0.112751,5.79564,0.270924,,0.0030511,0.0844463,-0.0337114,73.3867,0.0030511,-0.0106943,-0.028491136617958546,-0.010694287717342377,-0.000605197,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Kade Snell","sa3042672",820835
"Kody Hoese",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.213853,0.068941,0.241736,0.285191,0.271164,0.329233,0.265233,0.600398,0.115381,2.0403,0.265368,,-0.00174194,0.0793308,-0.038827,67.7875,-0.00174194,0.000712953,-0.03992044762708247,0.0007129529840312898,-0.000607455,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Kody Hoese","sa3010021",682210
"Devin Taylor","ATH",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.207746,0.0920334,0.307009,0.299774,0.286129,0.338224,0.27765,0.624353,0.130478,2.85387,0.282869,,-0.00157907,0.0894118,-0.0287459,75.4392,-0.00157907,-0.0091814,-0.030607805587351322,-0.009181401692330837,-0.000608237,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Devin Taylor","sa3043560",805127
"Eliezer Alfonzo","LAD",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.232782,0.0502452,0.153381,0.327583,0.274568,0.341526,0.270247,0.616094,0.108743,1.97927,0.256735,,-0.00158318,0.0834015,-0.0347562,71.2221,-0.00158318,-0.00356476,-0.035690981545485556,-0.0035647631157189608,-0.000612392,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Eliezer Alfonzo","sa3003262",672613
"Carlos Sanchez","MIA",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.20256,0.0725129,0.294899,0.245891,0.263067,0.298865,0.250654,0.561932,0.096304,2.68721,0.278749,,-0.00131126,0.0674943,-0.0506634,55.9505,-0.00131126,0.014259,-0.05351906642317772,0.01425904966890812,-0.000612829,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Carlos Sanchez","sa3018613",801522
"Brenden Dixon",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.19636,0.0954886,0.309608,0.308418,0.278523,0.317535,0.266962,0.596057,0.121175,4.4224,0.269542,,-0.000392322,0.0807349,-0.0374228,66.5795,-0.000392322,0.000712953,-0.04000251050456427,0.0007129529840312898,-0.000615851,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Brenden Dixon","sa3017397",686981
"Cameron Sisneros","CHC",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.216677,0.09174,0.242997,0.377535,0.29965,0.336727,0.284619,0.636376,0.12005,3.3445,0.269832,,-0.000548214,0.0950704,-0.0230873,82.3507,-0.000548214,-0.0178238,-0.021466316771693528,-0.01782381348311901,-0.00061591,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Cameron Sisneros","sa3025564",815133
"Je'Von Ward","TOR",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.202687,0.115568,0.296604,0.389637,0.295447,0.320231,0.277086,0.615679,0.117544,3.39368,0.278448,,-0.00149993,0.0889544,-0.0292033,76.0218,-0.00149993,-0.0106943,-0.029760996578261256,-0.010694287717342377,-0.000617651,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Je'Von Ward","sa3004969",669219
"Phillip Sikes","BOS",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.214743,0.0717621,0.321768,0.223024,0.283793,0.350854,0.280139,0.634647,0.136111,6.03046,0.303168,,0.00162678,0.0914328,-0.0267249,73.3248,0.00162678,-0.0106943,-0.02981302689295262,-0.010694287717342377,-0.000622975,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Phillip Sikes","sa3017113",689651
"Noah Myers","TBR",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.197534,0.123077,0.312059,0.394402,0.299977,0.297367,0.272742,0.597344,0.0998329,5.14909,0.284953,,0.00372547,0.085427,-0.0327307,71.5431,0.00372547,-0.0106943,-0.029814355075359344,-0.010694287717342377,-0.00062311,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Noah Myers","sa3023377",671956
"Cole Urman",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.191657,0.0711685,0.361426,0.196911,0.252122,0.297571,0.244685,0.549693,0.105913,3.4033,0.290028,,-0.00119817,0.0626478,-0.0555099,54.5426,-0.00119817,0.014259,-0.05477497074753046,0.01425904966890812,-0.000623855,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Cole Urman","sa3023270",805366
"Julian Brock","TEX",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.204249,0.053039,0.312541,0.169702,0.252827,0.306036,0.247051,0.558864,0.101787,3.95589,0.286237,,-0.00312604,0.064569,-0.0535887,56.1337,-0.00312604,0.014259,-0.05482762842439115,0.01425904966890812,-0.000629243,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Julian Brock","sa3023424",683149
"Roynier Hernandez","COL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.239635,0.0632822,0.223146,0.283591,0.28804,0.332667,0.273766,0.620706,0.0930319,4.06996,0.302794,,-0.00198119,0.0862588,-0.0318989,59.4708,-0.00198119,0.0104961,-0.050016662338748574,0.010496087372303009,-0.000639487,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Roynier Hernandez","sa3018495",800281
"Maxwell Romero Jr.","WSN",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.189433,0.0680149,0.341867,0.198951,0.254203,0.302838,0.248363,0.55704,0.113405,2.38539,0.272176,,-0.00135694,0.0656338,-0.052524,55.7418,-0.00135694,0.014259,-0.05381211207713932,0.01425904966890812,-0.000642811,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Maxwell Romero Jr.","sa3020271",686912
"Jack Winkler","HOU",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.212268,0.0663097,0.266101,0.249189,0.273298,0.316147,0.262108,0.589445,0.103879,5.32867,0.279782,,0.00245219,0.0767937,-0.041364,63.7967,0.00245219,0.000889023,-0.04045625380240381,0.0008890230092220008,-0.000644261,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jack Winkler","29830",676466
"Antonio Gomez","NYY",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.198024,0.0678013,0.318302,0.213009,0.256978,0.304338,0.249496,0.561316,0.106315,2.8574,0.278088,,-0.00118789,0.0665539,-0.0516038,57.5406,-0.00118789,0.0104961,-0.0512312245555222,0.010496087372303009,-0.000646284,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Antonio Gomez","sa3008746",682625
"Vladi Gomez","NYM",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.192195,0.0905392,0.296432,0.30543,0.270319,0.290259,0.253113,0.560578,0.0980633,5.39271,0.263882,,0.00294083,0.0694907,-0.048667,62.277,0.00294083,0.00213886,-0.0417687373701483,0.002138857962563634,-0.00065067,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Vladi Gomez","sa3021165",808082
"Marlon Quintero","LAA",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.220152,0.0351286,0.259845,0.135191,0.251738,0.324714,0.251879,0.576453,0.104562,2.90474,0.280324,,-0.000451352,0.0684886,-0.0496691,56.8757,-0.000451352,0.0104961,-0.0512783600424882,0.010496087372303009,-0.000651107,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Marlon Quintero","sa3023936",821238
"Echedry Vargas","MIA",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.221189,0.0311218,0.283502,0.109777,0.250693,0.361833,0.26466,0.612526,0.140645,4.51966,0.281558,,0.000473513,0.0788656,-0.0392921,65.5448,0.000473513,0.000712953,-0.040363033302128315,0.0007129529840312898,-0.000652737,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Echedry Vargas","sa3018565",800448
"Johan Rodriguez","CLE",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.201258,0.0651874,0.283646,0.229819,0.268594,0.308149,0.257881,0.576743,0.106891,2.63356,0.268917,,-0.00160135,0.0733618,-0.0447959,63.3731,-0.00160135,0.00393692,-0.04477042763028294,0.003936924040317535,-0.000656348,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Johan Rodriguez","sa3024364",821759
"Jose Astudillo","SFG",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.233055,0.0593294,0.215137,0.275775,0.284142,0.336623,0.273882,0.620765,0.103568,4.47231,0.285991,,-0.0000696954,0.0863531,-0.0318046,75.5966,-0.0000696954,-0.0106943,-0.028992730025493074,-0.010694287717342377,-0.000656516,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jose Astudillo","sa3016548",698973
"Rayne Doncon","MIN",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.206873,0.0676906,0.281476,0.240484,0.261448,0.343204,0.264939,0.604651,0.136331,2.59461,0.264876,,-0.0018376,0.0790922,-0.0390655,66.2926,-0.0018376,0.000712953,-0.0415656870463863,0.0007129529840312898,-0.000658315,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Rayne Doncon","sa3016720",699061
"Jose Dickson","DET",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.201146,0.06821,0.306317,0.222678,0.258341,0.313545,0.253157,0.571886,0.112399,4.41854,0.274533,,-0.0000262421,0.0695265,-0.0486312,58.6837,-0.0000262421,0.00784248,-0.04872233908645285,0.007842478342354298,-0.000661091,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jose Dickson","sa3023907",820988
"Ryan Wideman","SDP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.197082,0.0746834,0.309328,0.241437,0.266398,0.298181,0.253195,0.564578,0.101099,5.49522,0.275563,,0.00220423,0.0695569,-0.0486008,62.7705,0.00220423,0.00213886,-0.041920486371964216,0.002138857962563634,-0.000666196,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Ryan Wideman","sa3060916",834240
"Brody Moore","STL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.219909,0.0532618,0.236173,0.225521,0.264997,0.297011,0.249574,0.562008,0.077102,4.74056,0.282096,,0.001258,0.0666173,-0.0515404,58.6995,0.001258,0.00784248,-0.0476916148327291,0.007842478342354298,-0.000673103,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Brody Moore","sa3019839",690914
"Sebastian De Andrade","SEA",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.184407,0.0793475,0.323292,0.245436,0.254085,0.268214,0.23654,0.522299,0.0838068,2.28281,0.266301,,-0.00111868,0.0560348,-0.0621229,54.0189,-0.00111868,0.014259,-0.05531279812566936,0.01425904966890812,-0.000678882,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Sebastian De Andrade","sa3021842",808143
"Max Holy","HOU",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.17902,0.111719,0.355374,0.314371,0.275552,0.262069,0.247918,0.53762,0.083049,5.74221,0.281749,,0.0030313,0.0652722,-0.0528855,55.9003,0.0030313,0.00784248,-0.04894537990912795,0.007842478342354298,-0.000683911,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Max Holy","sa3025362",802959
"Juan Benjamin","CLE",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.218864,0.0683206,0.254798,0.268136,0.275502,0.305894,0.259036,0.581396,0.0870302,4.50824,0.28882,,0.000391475,0.0742995,-0.0438582,64.1687,0.000391475,0.000712953,-0.041839868907118216,0.0007129529840312898,-0.000686368,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Juan Benjamin","sa3017217",691405
"Eyeksson Rojas","WSN",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.216462,0.0575157,0.252958,0.227372,0.268907,0.324858,0.262309,0.593764,0.108396,3.09661,0.274605,,-0.00102298,0.0769569,-0.0412008,65.2955,-0.00102298,0.00213886,-0.04215499060228467,0.002138857962563634,-0.000690189,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Eyeksson Rojas","sa3023872",811325
"Luke Mann","ATH",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.196458,0.0744186,0.324208,0.22954,0.265661,0.328691,0.263359,0.594352,0.132233,3.69381,0.271403,,-0.000681991,0.0778089,-0.0403488,65.6221,-0.000681991,0.000712953,-0.041313654102850705,0.0007129529840312898,-0.000691263,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Luke Mann","sa3022529",680996
"Adrian Gil","CHW",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.175809,0.0751278,0.375915,0.199853,0.255848,0.28578,0.244813,0.541628,0.109971,5.44128,0.272351,,-0.00000464221,0.0627513,-0.0554064,52.9289,-0.00000464221,0.014259,-0.0554834683766785,0.01425904966890812,-0.000696343,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Adrian Gil","sa3021856",808691
"Won-Bin Cho","STL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.207146,0.078872,0.296254,0.266231,0.274902,0.300778,0.258076,0.57568,0.0936316,4.83037,0.288158,,-0.000324328,0.0735197,-0.044638,64.5233,-0.000324328,0.00213886,-0.042371563729830086,0.002138857962563634,-0.000712347,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Won-Bin Cho","sa3019526",800231
"Jalen Vasquez",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.198086,0.0934144,0.30347,0.307821,0.276464,0.302377,0.260053,0.578841,0.104291,5.67185,0.27926,,-0.00101303,0.0751252,-0.0430325,65.1291,-0.00101303,0.000712953,-0.042112451628781855,0.0007129529840312898,-0.000714256,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jalen Vasquez","sa3022920",694884
"Tucker Flint","LAA",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.198303,0.0988973,0.355531,0.278168,0.289046,0.337509,0.279888,0.626554,0.139205,4.30194,0.293626,,-0.00268087,0.0912294,-0.0269283,76.1702,-0.00268087,-0.0106943,-0.030767013784497976,-0.010694287717342377,-0.00072058,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Tucker Flint","sa3019856",687272
"Conner Capel","COL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.216826,0.0870158,0.243095,0.35795,0.288239,0.334802,0.276831,0.623041,0.117976,5.37339,0.270604,,0.000302921,0.0887472,-0.0294105,74.7524,0.000302921,-0.0106943,-0.02962071361253038,-0.010694287717342377,-0.000720767,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Conner Capel","19983",668843
"Javier Roman",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.192178,0.0735752,0.341451,0.215478,0.256993,0.2936,0.246279,0.550593,0.101423,3.31266,0.282803,,-0.000850724,0.0639417,-0.054216,53.4381,-0.000850724,0.014259,-0.05572933913208544,0.01425904966890812,-0.000721499,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Javier Roman","sa3018446",800069
"D'Andre Smith","NYM",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.223721,0.047702,0.248033,0.192321,0.272777,0.33574,0.26794,0.608517,0.112019,5.77948,0.283123,,0.00303381,0.0815283,-0.0366294,72.4335,0.00303381,-0.0106943,-0.029638210078701377,-0.010694287717342377,-0.000722557,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"D'Andre Smith","sa3020536",694266
"Kyle Nevin","LAD",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.209215,0.0709687,0.30804,0.230388,0.269172,0.325285,0.262929,0.594457,0.11607,4.60045,0.289169,,-0.00102604,0.0774599,-0.0406978,66.209,-0.00102604,0.000712953,-0.04107537283562124,0.0007129529840312898,-0.000725618,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Kyle Nevin","sa3019894",693819
"Bligh Madris","STL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.21729,0.0881074,0.269061,0.327463,0.287905,0.362649,0.286048,0.650554,0.145359,4.88317,0.27546,,-0.00169572,0.0962307,-0.021927,81.341,-0.00169572,-0.0178238,-0.023687551612965763,-0.01782381348311901,-0.000725702,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Bligh Madris","20054",676632
"Charlie Pagliarini","SEA",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.177738,0.0963751,0.378579,0.254571,0.263828,0.310476,0.257428,0.574303,0.132737,2.99956,0.269955,,-0.00167158,0.0729941,-0.0451636,68.4081,-0.00167158,-0.00262224,-0.03890636737924069,-0.0026222390588372946,-0.000727466,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Charlie Pagliarini","sa3022487",813860
"Lisbel Diaz","SFG",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.222596,0.0254155,0.255616,0.0994285,0.248399,0.339194,0.25484,0.587593,0.116598,4.8782,0.280919,,0.000057646,0.0708922,-0.0472655,62.5518,0.000057646,0.00393692,-0.04432625237677712,0.003936924040317535,-0.000728372,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Lisbel Diaz","sa3022399",815464
"Darison Garcia","KCR",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.200635,0.101708,0.271378,0.374785,0.284393,0.292723,0.261514,0.577117,0.0920879,4.57363,0.270044,,0.00145205,0.0763113,-0.0418464,61.6744,0.00145205,0.00213886,-0.043719165376387537,0.002138857962563634,-0.000732755,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Darison Garcia","sa3024359",821691
"Jhosmmel Zue","KCR",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.19184,0.0807153,0.319274,0.252809,0.261789,0.29581,0.249891,0.557599,0.10397,3.27877,0.271286,,-0.00124133,0.0668746,-0.0512831,53.6678,-0.00124133,0.014259,-0.0558492693817243,0.01425904966890812,-0.00073377,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jhosmmel Zue","sa3021049",702435
