"last_name, first_name",pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed,st_avg_speed,sv_avg_speed,year,ff_avg_spin,si_avg_spin,fc_avg_spin,sl_avg_spin,ch_avg_spin,cu_avg_spin,fs_avg_spin,kn_avg_spin,st_avg_spin,sv_avg_spin,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn,n_st,n_sv
"Fien, Casey",502272,93.3,92.6,,88.4,89.0,78.4,,,,,2015,2437.0,2516.0,,2391.0,,2351.0,,,,,52.2,3.1,,37.5,0.1,7.1,,,,
"Fien, Casey",502272,93.9,93.3,,89.2,,79.8,,,,,2016,2501.0,2523.0,,2513.0,,2620.0,,,,,46.5,7.6,,38.0,,8.0,,,,
"Carpenter, David",502304,95.6,,,86.8,90.3,,,,,,2015,2168.0,,,2021.0,1578.0,,,,,,70.4,,,29.1,0.5,,,,,
"Santiago, Héctor",502327,,90.9,86.6,79.4,83.5,73.4,,,,,2015,,2204.0,2144.0,1810.0,1944.0,2051.0,,,,,,61.2,10.8,8.1,16.5,3.1,,,,
"Santiago, Héctor",502327,,91.9,85.8,79.2,83.4,73.8,,,,,2016,,2245.0,2191.0,2164.0,2004.0,2113.0,,,,,,63.8,5.2,5.6,21.1,3.4,,,,
"Santiago, Héctor",502327,89.2,90.8,85.1,79.4,82.9,74.5,,,,,2017,2149.0,2168.0,2137.0,2181.0,2028.0,2098.0,,,,,4.9,56.8,3.2,6.2,19.9,5.9,,,,
"Santiago, Héctor",502327,90.8,89.0,,83.5,82.4,74.7,,,,,2018,2123.0,2043.0,,2075.0,1952.0,2077.0,,,,,65.1,3.4,,3.7,18.5,7.4,,,,
"Santiago, Héctor",502327,91.8,92.5,,85.0,83.9,74.6,,,,,2019,2117.0,2078.0,,2051.0,2054.0,2003.0,,,,,59.3,0.1,,16.1,19.8,4.6,,,,
"Santiago, Héctor",502327,90.9,88.5,,82.3,81.4,75.8,,,,,2021,2044.0,1982.0,,2085.0,1904.0,2292.0,,,,,65.4,1.6,,7.3,25.5,0.2,,,,
"Gregerson, Luke",502381,89.8,90.0,89.5,82.8,79.3,77.6,,,,,2015,2328.0,2352.0,2372.0,2259.0,1735.0,2054.0,,,,,11.1,44.2,2.0,41.1,1.5,0.1,,,,
"Gregerson, Luke",502381,89.6,89.8,89.3,81.7,79.8,,,,,,2016,2391.0,2395.0,2381.0,2485.0,1943.0,,,,,,9.4,42.4,1.7,45.5,1.1,,,,,
"Gregerson, Luke",502381,89.3,89.6,,81.6,80.2,,,,,,2017,2434.0,2384.0,,2667.0,2032.0,,,,,,5.0,47.3,,46.2,1.5,,,,,
"Kelly, Ryan",502462,93.1,92.2,,88.7,,79.5,,,,,2015,2191.0,1883.0,,2170.0,,2290.0,,,,,28.6,13.1,,47.1,,11.2,,,,
"Miller, Justin",502522,94.9,95.4,,87.2,88.8,,,,,,2015,2354.0,2271.0,,2245.0,1963.0,,,,,,59.0,0.4,,38.7,1.9,,,,,
"Miller, Justin",502522,93.7,95.4,,86.0,88.2,,,,,,2016,2307.0,2324.0,,2429.0,1807.0,,,,,,65.5,0.9,,33.5,0.1,,,,,
"Miller, Justin",502522,93.9,94.3,,86.1,89.5,,,,,,2018,2447.0,2281.0,,2637.0,2013.0,,,,,,63.1,7.9,,27.2,1.8,,,,,
"Miller, Justin",502522,92.1,92.4,,85.8,88.3,,,,,,2019,2405.0,2349.0,,2648.0,2092.0,,,,,,63.6,15.6,,19.6,1.1,,,,,
"Miller, Justin",502522,92.8,93.1,,82.9,,,,,,,2021,2296.0,2204.0,,2560.0,,,,,,,52.5,19.7,,27.8,,,,,,
"Barrett, Aaron",502578,94.7,94.8,,86.0,86.7,,,,,,2015,2090.0,2025.0,,2056.0,1714.0,,,,,,14.4,44.8,,39.3,1.5,,,,,
"Petricka, Jake",502593,,94.8,,88.9,86.8,,,,,,2015,,2039.0,,1927.0,2019.0,,,,,,,73.7,,7.0,19.3,,,,,
"Petricka, Jake",502593,94.2,94.3,,85.8,87.6,,,,,,2017,2106.0,2110.0,,2029.0,1964.0,,,,,,11.3,59.3,,5.2,24.1,,,,,
"Petricka, Jake",502593,94.5,94.8,,85.6,88.3,,,,,,2018,2076.0,2104.0,,2077.0,1944.0,,,,,,0.5,65.7,,25.8,8.0,,,,,
"Anderson, Chase",502624,92.2,91.8,89.0,,82.1,77.3,,,,,2015,2099.0,2075.0,2224.0,,2258.0,2081.0,,,,,41.9,19.7,0.3,,24.0,14.1,,,,
"Anderson, Chase",502624,91.6,91.5,88.4,,82.2,77.1,,,,,2016,2143.0,2116.0,2265.0,,2270.0,2134.0,,,,,50.0,8.7,3.8,,24.0,13.5,,,,
"Anderson, Chase",502624,93.2,92.7,89.3,,83.6,78.2,,,,,2017,2197.0,2154.0,2389.0,,2278.0,2212.0,,,,,38.9,14.9,11.8,,16.1,18.3,,,,
"Anderson, Chase",502624,92.5,91.9,88.6,,82.1,76.7,,,,,2018,2160.0,2108.0,2340.0,,2247.0,2220.0,,,,,40.8,12.4,10.0,,18.8,17.9,,,,
"Anderson, Chase",502624,93.3,93.3,90.6,,82.7,77.8,,,,,2019,2166.0,2167.0,2382.0,,2311.0,2171.0,,,,,43.4,7.4,14.7,,24.2,10.3,,,,
"Anderson, Chase",502624,92.5,92.1,87.2,,82.5,77.2,,,,,2020,2187.0,2145.0,2456.0,,2257.0,2102.0,,,,,33.9,6.4,20.1,,23.5,16.1,,,,
"Anderson, Chase",502624,91.5,91.1,87.3,83.9,81.9,76.9,,,,,2021,2120.0,2103.0,2327.0,2164.0,2162.0,2034.0,,,,,32.9,6.2,18.1,4.3,29.5,9.0,,,,
"Anderson, Chase",502624,92.0,92.4,90.2,85.0,82.9,77.8,,,82.4,,2022,2163.0,2167.0,2327.0,2302.0,2274.0,2201.0,,,2295.0,,26.4,11.2,17.8,3.9,28.4,7.7,,,4.7,
"Anderson, Chase",502624,93.3,92.9,89.2,83.8,83.9,77.6,,,80.5,,2023,2199.0,2186.0,2410.0,2418.0,2297.0,2159.0,,,2400.0,,24.6,13.9,26.3,0.3,22.9,4.1,,,7.8,
"Anderson, Chase",502624,93.6,92.8,88.8,,83.9,78.9,,,80.5,,2024,2242.0,2298.0,2439.0,,2301.0,2188.0,,,2472.0,,15.2,1.4,33.9,,30.4,4.0,,,15.2,
"Holland, Derek",502706,92.0,93.6,,82.9,85.5,77.2,,,,,2015,2192.0,2209.0,,2000.0,2028.0,1621.0,,,,,0.6,58.3,,18.5,10.0,12.7,,,,
"Holland, Derek",502706,91.5,92.3,,80.5,83.7,77.0,,,,,2016,2212.0,2207.0,,2035.0,1992.0,1938.0,,,,,1.5,59.4,,20.0,11.6,7.5,,,,
"Holland, Derek",502706,91.3,91.0,,81.1,83.1,78.0,,,,,2017,2240.0,2167.0,,2102.0,1978.0,1994.0,,,,,19.0,36.1,,12.0,10.4,22.5,,,,
"Holland, Derek",502706,,91.5,,80.9,82.9,78.4,,,,,2018,,2353.0,,2178.0,2125.0,2076.0,,,,,,56.9,,21.8,8.8,12.5,,,,
"Holland, Derek",502706,,92.3,,81.1,83.9,77.7,,,,,2019,,2386.0,,2243.0,1864.0,2098.0,,,,,,62.1,,29.6,4.1,4.3,,,,
"Holland, Derek",502706,92.1,92.3,,,84.3,80.7,,,,,2020,2380.0,2443.0,,,2273.0,2227.0,,,,,3.2,43.5,,,16.0,37.3,,,,
"Holland, Derek",502706,92.8,93.1,,,85.0,81.4,,,,,2021,2296.0,2361.0,,,2079.0,2088.0,,,,,9.8,46.8,,,9.6,33.8,,,,
"Peacock, Brad",502748,92.5,,,,81.3,76.2,,,80.5,,2016,2260.0,,,,1889.0,2460.0,,,2540.0,,52.6,,,,6.9,8.9,,,31.5,
"Peacock, Brad",502748,92.6,91.8,,,81.3,77.5,,,81.5,,2017,2328.0,2289.0,,,2002.0,2612.0,,,2658.0,,24.3,27.0,,,4.4,7.1,,,37.1,
"Peacock, Brad",502748,93.0,92.4,,,83.3,78.6,,,82.1,,2018,2313.0,2261.0,,,1746.0,2621.0,,,2685.0,,26.5,28.0,,,0.8,4.4,,,40.2,
"Peacock, Brad",502748,92.5,91.8,,,83.4,78.6,,,81.3,,2019,2296.0,2230.0,,,1970.0,2599.0,,,2751.0,,27.4,31.1,,,6.0,6.9,,,28.6,
"O'Day, Darren",503285,87.7,86.7,,79.9,81.5,79.0,,,,,2015,2319.0,2128.0,,1458.0,1847.0,1761.0,,,,,32.9,22.2,,44.1,0.6,0.2,,,,
"O'Day, Darren",503285,87.0,86.3,,79.8,,,,,,,2016,2301.0,2132.0,,2066.0,,,,,,,32.7,22.3,,45.0,,,,,,
"O'Day, Darren",503285,87.8,87.0,,80.2,,75.1,,,,,2017,2336.0,2185.0,,2229.0,,2062.0,,,,,36.1,17.5,,46.3,,0.1,,,,
"O'Day, Darren",503285,86.8,85.9,,79.0,,,,,,,2018,2375.0,2184.0,,2221.0,,,,,,,36.1,16.3,,47.6,,,,,,
"O'Day, Darren",503285,86.0,85.6,,78.3,,,,,,,2020,2313.0,2165.0,,2267.0,,,,,,,47.1,10.0,,42.9,,,,,,
"O'Day, Darren",503285,86.0,85.9,,78.2,,,,,,,2022,2387.0,2176.0,,2315.0,,,,,,,43.6,8.6,,47.8,,,,,,
"De La Cruz, Joel",503444,92.3,92.0,,86.6,85.1,,,,,,2016,2286.0,2237.0,,2261.0,1633.0,,,,,,1.5,50.1,,24.5,24.0,,,,,
"Peralta, Wily",503449,94.8,95.1,,83.2,84.1,,83.3,,,,2015,1867.0,1778.0,,1674.0,1525.0,,1499.0,,,,32.1,33.9,,28.5,5.5,,0.1,,,
"Peralta, Wily",503449,95.3,95.5,,85.1,85.6,,,,,,2016,1913.0,1822.0,,2060.0,1529.0,,,,,,25.6,37.2,,32.3,4.9,,,,,
"Peralta, Wily",503449,95.9,96.1,,84.2,85.7,78.2,,,,,2017,1891.0,1827.0,,2109.0,1573.0,2024.0,,,,,36.5,22.0,,35.2,3.2,3.0,,,,
"Peralta, Wily",503449,96.2,96.3,,83.8,86.3,82.9,,,,,2018,1865.0,1834.0,,2236.0,1515.0,2234.0,,,,,49.3,0.2,,37.6,11.3,1.7,,,,
"Peralta, Wily",503449,94.3,94.9,,82.1,84.8,74.7,,,,,2019,1872.0,1832.0,,2203.0,1585.0,2095.0,,,,,54.5,0.4,,32.1,12.8,0.1,,,,
"Peralta, Wily",503449,93.7,94.0,,82.5,,,81.3,,,,2021,1874.0,1795.0,,2171.0,,,1056.0,,,,25.0,30.2,,22.3,,,22.5,,,
"Peralta, Wily",503449,95.4,95.5,,83.6,,,82.6,,,,2022,1954.0,1870.0,,2257.0,,,1165.0,,,,25.6,23.8,,29.8,,,20.7,,,
"Dolis, Rafael",503569,94.3,94.7,,84.0,,,86.6,,,,2020,2319.0,2235.0,,2472.0,,,1361.0,,,,0.5,60.6,,20.3,,,18.6,,,
"Dolis, Rafael",503569,94.3,94.8,,86.4,,,86.8,,,,2021,2298.0,2277.0,,2445.0,,,1295.0,,,,0.2,65.0,,23.0,,,11.9,,,
"Rondon, Jorge",504083,95.9,95.3,,87.8,86.0,,,,,,2015,2235.0,2037.0,,1962.0,1508.0,,,,,,52.7,11.0,,30.1,6.2,,,,,
"Leon, Arnold",504186,92.3,,,85.1,82.0,73.7,,,,,2015,2158.0,,,1957.0,1667.0,2268.0,,,,,58.9,,,17.1,10.1,13.8,,,,
"Nicasio, Juan",504379,95.7,94.4,,86.9,87.5,,,,,,2015,2115.0,2118.0,,1914.0,2022.0,,,,,,73.3,1.4,,24.6,0.7,,,,,
"Nicasio, Juan",504379,94.3,93.7,,87.0,87.3,,,,,,2016,2130.0,2074.0,,1975.0,1930.0,,,,,,67.9,1.2,,29.0,1.9,,,,,
"Nicasio, Juan",504379,95.3,95.2,,88.5,87.1,,,,,,2017,2075.0,2051.0,,1992.0,1841.0,,,,,,58.7,13.7,,25.7,1.8,,,,,
"Nicasio, Juan",504379,93.9,93.7,,87.4,88.0,,,,,,2018,2093.0,2062.0,,1990.0,1951.0,,,,,,58.6,10.5,,28.5,2.5,,,,,
"Nicasio, Juan",504379,93.8,93.1,,86.7,84.7,,,,,,2019,2075.0,2013.0,,1934.0,1918.0,,,,,,41.9,12.1,,45.7,0.2,,,,,
"Darvish, Yu",506433,94.4,92.9,89.3,,,73.0,86.7,,82.2,,2016,2519.0,2217.0,2522.0,,,2483.0,1658.0,,2587.0,,41.9,17.3,9.8,,,9.1,2.3,,19.7,
"Darvish, Yu",506433,94.3,93.4,88.7,84.1,88.5,73.4,,,82.5,,2017,2506.0,2357.0,2655.0,2590.0,1585.0,2510.0,,,2664.0,,35.3,16.7,14.8,0.1,2.6,5.9,,,24.5,
"Darvish, Yu",506433,94.1,93.5,89.2,86.7,89.6,75.1,88.7,,83.9,,2018,2540.0,2419.0,2689.0,2731.0,1576.0,2658.0,2229.0,,2724.0,,37.3,17.3,12.6,6.4,5.4,3.4,0.1,,17.6,
"Darvish, Yu",506433,94.2,94.1,91.2,86.2,82.3,77.1,89.7,,82.5,,2019,2547.0,2480.0,2683.0,2694.0,1234.0,2617.0,1544.0,,2727.0,,25.7,8.8,5.0,31.0,0.3,7.0,8.3,,13.9,
"Darvish, Yu",506433,95.9,95.2,92.7,86.1,,77.3,90.2,,82.0,,2020,2582.0,2492.0,2677.0,2792.0,,2719.0,1638.0,,2791.0,,15.1,8.7,4.4,36.2,,11.7,8.9,,15.0,
"Darvish, Yu",506433,94.5,94.0,91.3,86.2,,75.3,88.8,,81.6,,2021,2513.0,2402.0,2664.0,2792.0,,2714.0,1455.0,,2759.0,,22.1,8.3,2.5,31.0,,8.5,4.9,,22.8,
"Darvish, Yu",506433,95.0,94.7,90.7,86.0,,76.1,89.2,,82.7,,2022,2419.0,2264.0,2577.0,2778.0,,2704.0,1302.0,,2726.0,,25.5,8.5,4.3,31.5,,7.3,7.4,,15.4,
"Darvish, Yu",506433,94.7,94.3,90.9,85.7,82.3,76.3,89.2,,82.4,,2023,2405.0,2270.0,2602.0,2827.0,1198.0,2716.0,1443.0,,2792.0,,16.7,18.6,8.9,17.7,0.1,11.7,7.7,,18.6,
"Darvish, Yu",506433,94.1,93.6,90.8,85.9,88.4,75.6,87.2,,82.1,,2024,2317.0,2210.0,2484.0,2722.0,1525.0,2619.0,1272.0,,2732.0,,18.4,17.1,4.6,23.3,5.0,13.7,4.0,,14.0,
"Darvish, Yu",506433,93.9,93.4,90.8,85.7,88.1,71.7,86.4,,82.5,,2025,2365.0,2273.0,2522.0,2750.0,1778.0,2511.0,1144.0,,2738.0,,16.0,20.1,12.2,15.0,0.5,16.6,10.6,,9.1,
"Alvarez, Henderson",506693,91.8,91.8,,83.4,87.6,75.2,,,,,2015,1931.0,1882.0,,1908.0,1542.0,1429.0,,,,,25.3,25.7,,17.9,29.4,1.7,,,,
"Alvarez, Henderson",506693,91.5,91.5,,85.5,87.0,79.5,,,,,2017,1885.0,1850.0,,2084.0,1455.0,2123.0,,,,,41.7,21.7,,6.3,26.0,4.3,,,,
"Guaipe, Mayckol",515052,93.8,93.7,,84.2,87.9,79.8,,,,,2015,2337.0,2329.0,,2117.0,1741.0,1953.0,,,,,31.8,25.8,,38.5,3.6,0.2,,,,
"Peña, Ariel",516414,92.0,92.9,,83.5,86.9,,,,,,2015,2215.0,2239.0,,1876.0,1731.0,,,,,,39.5,19.8,,34.0,6.7,,,,,
"Rienzo, André",516589,91.1,91.0,87.7,88.1,84.9,78.7,,,,,2015,2234.0,2089.0,2426.0,2524.0,1581.0,2505.0,,,,,10.2,35.1,32.0,7.6,2.8,12.2,,,,
"Alvarez, Dario",516714,93.5,,85.8,,,83.2,,,,,2016,2443.0,,1564.0,,,2044.0,,,,,41.1,,2.4,,,56.5,,,,
"Alvarez, Dario",516714,92.1,93.2,,82.0,,,,,,,2017,2411.0,2587.0,,2550.0,,,,,,,37.5,0.9,,61.5,,,,,,
"Frías, Carlos",516910,95.3,95.2,90.4,,87.8,80.1,,,,,2015,2341.0,2322.0,2280.0,,1614.0,2131.0,,,,,27.4,28.9,30.2,,9.0,4.5,,,,
"Herrera, Kelvin",516969,98.9,98.4,,87.9,90.1,81.4,,,,,2015,2251.0,2196.0,,2032.0,1857.0,2857.0,,,,,60.6,15.5,,4.3,18.0,1.6,,,,
"Herrera, Kelvin",516969,97.9,97.4,,84.2,89.3,82.1,,,,,2016,2266.0,2192.0,,2535.0,1786.0,2635.0,,,,,50.9,9.3,,9.7,18.5,11.6,,,,
"Herrera, Kelvin",516969,97.2,97.2,,86.5,90.3,,,,,,2017,2283.0,2208.0,,2490.0,1811.0,,,,,,40.7,30.7,,10.8,17.9,,,,,
"Herrera, Kelvin",516969,96.6,96.2,,80.7,88.2,,,,,,2018,2218.0,2158.0,,2692.0,1748.0,,,,,,41.8,22.3,,19.0,17.0,,,,,
"Herrera, Kelvin",516969,96.3,95.4,91.3,81.7,88.6,,,,,,2019,2229.0,2192.0,2289.0,2676.0,1781.0,,,,,,35.4,21.3,11.1,12.7,19.5,,,,,
"Marimon, Sugar Ray",516970,91.8,92.0,,,82.6,79.9,,,,,2015,2084.0,2030.0,,,1845.0,2020.0,,,,,36.3,25.7,,,16.1,21.9,,,,
"Colomé, Alex",517008,94.6,95.8,87.2,,86.4,79.0,,,,,2015,2069.0,2063.0,1936.0,,1324.0,1772.0,,,,,52.9,2.8,24.1,,13.7,6.5,,,,
"Colomé, Alex",517008,95.2,95.3,89.2,,89.7,83.0,,,,,2016,2133.0,2159.0,2118.0,,1955.0,2197.0,,,,,52.6,0.9,44.5,,1.6,0.4,,,,
"Colomé, Alex",517008,95.2,,89.5,,90.7,,,,,,2017,2121.0,,2116.0,,2146.0,,,,,,32.5,,62.9,,4.6,,,,,
"Colomé, Alex",517008,95.1,,90.4,,,,,,,,2018,2104.0,,2144.0,,,,,,,,44.8,,55.2,,,,,,,
"Colomé, Alex",517008,94.4,,90.4,,91.2,,,,,,2019,2127.0,,2149.0,,2138.0,,,,,,28.8,,68.3,,2.9,,,,,
"Colomé, Alex",517008,94.4,,89.3,,,,,,,,2020,2117.0,,2147.0,,,,,,,,28.4,,71.6,,,,,,,
"Colomé, Alex",517008,93.7,,89.5,,,,,,,,2021,2101.0,,2148.0,,,,,,,,29.5,,70.5,,,,,,,
"Colomé, Alex",517008,94.5,95.0,90.8,,,,,,,,2022,2125.0,2180.0,2153.0,,,,,,,,15.4,0.1,84.4,,,,,,,
"Delgado, Randall",517414,93.7,92.7,,82.5,84.5,74.4,,,,,2015,2197.0,2138.0,,1629.0,1889.0,1918.0,,,,,39.9,14.0,,24.4,20.9,0.8,,,,
"Delgado, Randall",517414,93.1,92.5,,82.5,85.8,,,,,,2016,2243.0,2149.0,,1975.0,1973.0,,,,,,32.3,22.4,,25.0,20.3,,,,,
"Delgado, Randall",517414,94.2,93.4,,85.8,86.8,79.4,,,,,2017,2342.0,2266.0,,2168.0,1981.0,2072.0,,,,,43.8,12.3,,15.3,26.6,1.9,,,,
"Boscan, Wilfredo",517448,91.2,,,,82.5,76.2,,,,,2016,2237.0,,,,1843.0,2441.0,,,,,69.2,,,,13.7,17.1,,,,
"Salazar, Danny",517593,95.6,95.0,,85.5,86.1,80.0,,,,,2015,2346.0,2301.0,,1821.0,1274.0,2442.0,,,,,51.9,16.4,,9.3,18.7,3.7,,,,
"Salazar, Danny",517593,95.4,95.0,,85.1,86.4,80.3,,,,,2016,2414.0,2388.0,,2345.0,1407.0,2635.0,,,,,56.6,11.6,,11.1,17.8,2.8,,,,
"Salazar, Danny",517593,95.3,94.9,,86.2,86.6,80.9,,,,,2017,2479.0,2468.0,,2273.0,1628.0,2765.0,,,,,37.4,22.0,,10.5,24.4,5.7,,,,
"Alexander, Scott",518397,,91.2,,83.2,83.6,,,,,,2016,,2104.0,,2062.0,1614.0,,,,,,,72.2,,22.8,4.9,,,,,
"Alexander, Scott",518397,93.7,93.1,,85.7,86.0,,,,,,2017,2253.0,2222.0,,2319.0,1674.0,,,,,,12.0,82.0,,4.2,1.8,,,,,
"Alexander, Scott",518397,92.5,93.3,,85.3,86.7,,,,,,2018,2246.0,2224.0,,2303.0,1719.0,,,,,,1.9,83.4,,10.8,4.0,,,,,
"Alexander, Scott",518397,,92.8,,84.2,87.0,,,,,,2019,,2271.0,,2311.0,1650.0,,,,,,,88.8,,7.9,3.2,,,,,
"Alexander, Scott",518397,,92.2,,84.3,86.2,,,,,,2021,,2188.0,,2449.0,1608.0,,,,,,,74.1,,17.4,8.5,,,,,
"Alexander, Scott",518397,92.2,92.8,,83.0,85.9,,,,,,2023,2291.0,2225.0,,2532.0,1530.0,,,,,,0.4,75.2,,16.0,8.4,,,,,
"Alexander, Scott",518397,,92.1,,82.7,84.6,,,,,,2024,,2172.0,,2554.0,1381.0,,,,,,,64.3,,22.6,13.1,,,,,
"Alexander, Scott",518397,,91.3,,83.2,83.5,,,,,,2025,,2192.0,,2409.0,1485.0,,,,,,,65.2,,20.8,14.1,,,,,
"Bell, Chad",518445,92.9,92.9,85.5,80.6,86.4,,,,,,2017,2130.0,2112.0,2142.0,2106.0,1464.0,,,,,,6.7,51.7,18.9,12.2,10.4,,,,,
"Bettis, Chad",518452,92.5,92.3,,86.8,85.8,74.6,,,,,2015,1995.0,1887.0,,2014.0,1553.0,2161.0,,,,,49.0,14.5,,5.4,16.1,15.0,,,,
"Bettis, Chad",518452,92.3,91.6,87.2,86.2,86.6,75.6,,,,,2016,1963.0,1861.0,1974.0,2079.0,1521.0,2232.0,,,,,48.2,10.0,0.4,18.7,11.7,11.0,,,,
"Bettis, Chad",518452,90.1,90.1,84.5,,85.0,74.7,,,,,2017,1903.0,1856.0,2038.0,,1512.0,2195.0,,,,,40.2,12.6,6.3,,25.4,15.5,,,,
"Bettis, Chad",518452,90.4,91.3,86.1,,86.0,75.6,,,,,2018,1876.0,1808.0,2051.0,,1377.0,2224.0,,,,,40.6,1.4,18.8,,26.6,12.5,,,,
"Bettis, Chad",518452,93.0,93.1,88.7,,87.0,77.3,,,,,2019,2037.0,2023.0,2292.0,,1370.0,2539.0,,,,,35.8,2.5,17.4,,32.2,12.0,,,,
"Blazek, Michael",518468,94.0,92.3,,82.6,84.7,77.7,,,,,2015,2377.0,2257.0,,1528.0,1977.0,2053.0,,,,,31.9,13.9,,25.8,0.1,28.3,,,,
"Blazek, Michael",518468,94.0,92.7,,83.9,86.7,77.3,,,,,2016,2421.0,2317.0,,2324.0,2507.0,2465.0,,,,,35.9,14.7,,28.6,0.1,20.7,,,,
"Brasier, Ryan",518489,96.8,96.9,,85.5,88.6,,,,,,2018,2349.0,2320.0,,2447.0,1473.0,,,,,,52.3,10.3,,33.7,3.7,,,,,
"Brasier, Ryan",518489,96.1,96.1,,85.2,87.4,,,,,,2019,2359.0,2320.0,,2481.0,1566.0,,,,,,55.1,4.1,,31.9,8.9,,,,,
"Brasier, Ryan",518489,96.2,95.2,,86.2,87.4,,,,,,2020,2253.0,2280.0,,2426.0,1528.0,,,,,,58.3,3.8,,33.0,5.0,,,,,
"Brasier, Ryan",518489,95.9,96.1,,85.5,88.1,,,,,,2022,2270.0,2231.0,,2469.0,1340.0,,,,,,44.0,11.8,,42.9,1.3,,,,,
"Brasier, Ryan",518489,95.7,96.0,92.0,85.0,,,,,,,2023,2293.0,2276.0,2368.0,2487.0,,,,,,,36.0,15.1,13.5,35.4,,,,,,
"Brasier, Ryan",518489,94.5,94.5,90.4,85.2,,,,,,,2024,2231.0,2202.0,2338.0,2418.0,,,,,,,29.7,16.0,13.1,41.2,,,,,,
"Brasier, Ryan",518489,94.0,94.0,89.2,85.3,,,,,,,2025,2270.0,2228.0,2334.0,2373.0,,,,,,,35.4,16.6,12.9,35.1,,,,,,
"Bumgarner, Madison",518516,92.7,92.5,86.8,86.5,85.5,76.9,,,,,2015,2311.0,2320.0,2177.0,,1615.0,2311.0,,,,,48.8,0.7,30.2,1.3,2.0,17.0,,,,
"Bumgarner, Madison",518516,91.4,91.8,87.4,86.6,83.9,75.1,,,,,2016,2301.0,2321.0,2309.0,,1667.0,2368.0,,,,,45.6,2.5,32.6,0.9,3.3,15.1,,,,
"Bumgarner, Madison",518516,91.1,,86.8,,82.8,78.0,,,,,2017,2163.0,,2198.0,,1536.0,2356.0,,,,,42.9,,36.1,,5.4,15.6,,,,
"Bumgarner, Madison",518516,90.8,90.6,85.5,,83.5,77.4,,,,,2018,2078.0,2070.0,2129.0,,1458.0,2297.0,,,,,34.3,0.0,35.2,,7.7,22.8,,,,
"Bumgarner, Madison",518516,91.4,92.2,87.2,,84.2,78.8,,,,,2019,2405.0,2400.0,2488.0,,1638.0,2645.0,,,,,42.8,0.1,33.4,,5.3,18.3,,,,
"Bumgarner, Madison",518516,88.4,88.2,83.5,,83.1,76.9,,,,,2020,2395.0,2419.0,2492.0,,1684.0,2493.0,,,,,38.9,0.6,36.6,,1.3,22.7,,,,
"Bumgarner, Madison",518516,90.4,89.8,86.0,,83.8,77.8,,,,,2021,2312.0,2058.0,2407.0,,1434.0,2462.0,,,,,33.1,3.2,34.2,,7.8,21.7,,,,
"Bumgarner, Madison",518516,91.2,90.8,87.4,83.3,85.5,78.6,,,,,2022,2210.0,2045.0,2295.0,2205.0,1480.0,2304.0,,,,,32.0,1.5,36.3,0.2,11.3,18.7,,,,
"Bumgarner, Madison",518516,89.5,,86.2,,84.3,77.2,,,,,2023,2160.0,,2244.0,,1514.0,2286.0,,,,,33.1,,34.9,,12.3,19.7,,,,
"Cishek, Steve",518553,90.3,91.3,,81.0,83.4,,,,,,2015,2168.0,2250.0,,2086.0,1821.0,,,,,,0.2,57.2,,41.2,1.4,,,,,
"Cishek, Steve",518553,91.8,92.0,,79.1,83.7,,,,,,2016,2361.0,2328.0,,2439.0,1903.0,,,,,,1.5,47.3,,50.1,1.0,,,,,
"Cishek, Steve",518553,89.7,90.4,,77.2,84.6,,,,,,2017,2289.0,2288.0,,2353.0,1890.0,,,,,,2.2,47.7,,48.7,1.4,,,,,
"Cishek, Steve",518553,90.3,90.3,,77.5,84.4,,,,,,2018,2396.0,2347.0,,2387.0,2078.0,,,,,,13.1,49.1,,37.4,0.4,,,,,
"Cishek, Steve",518553,90.5,90.5,,78.9,83.9,,,,,,2019,2409.0,2372.0,,2282.0,1975.0,,,,,,17.0,42.1,,40.0,0.8,,,,,
"Cishek, Steve",518553,89.2,90.4,,78.2,82.4,,,,,,2020,2354.0,2311.0,,2335.0,1848.0,,,,,,2.7,44.9,,51.3,1.1,,,,,
"Cishek, Steve",518553,89.7,90.2,,77.5,82.3,,,,,,2021,2385.0,2306.0,,2376.0,1720.0,,,,,,19.4,41.3,,39.0,0.2,,,,,
"Cishek, Steve",518553,89.3,89.8,,76.5,83.1,,,,,,2022,2377.0,2289.0,,2275.0,2013.0,,,,,,28.3,34.1,,37.1,0.4,,,,,
"Clemens, Paul",518560,92.5,92.4,,,84.1,74.7,,,,,2016,2394.0,2380.0,,,1768.0,2765.0,,,,,2.6,62.2,,,4.2,31.0,,,,
"Cole, Taylor",518566,92.9,,,86.4,86.9,,,,,,2018,2298.0,,,2370.0,1981.0,,,,,,39.1,,,35.9,25.0,,,,,
"Cole, Taylor",518566,93.2,,92.5,87.4,86.9,82.2,,,,,2019,2282.0,,2271.0,2395.0,1956.0,2535.0,,,,,37.2,,4.4,21.7,31.8,4.8,,,,
"Collmenter, Josh",518567,87.1,,85.4,,77.1,71.2,,,,,2015,1984.0,,1921.0,,1754.0,1867.0,,,,,0.1,,66.6,,28.3,5.0,,,,
